pos,player,wkts,mat,inns,ov,runs,avg,econ,sr,base_price,final_price,role,final_price_rate
91,Travis Head,1,15,1,1.0,7,7.0,7.0,6.0,20000000,68000000,Capped,3.4
83,Trent Boult,2,5,5,16.1,188,94.0,11.62,48.5,20000000,125000000,Capped,6.25
73,Tushar Deshpande,4,7,7,23.0,275,68.75,11.95,34.5,10000000,65000000,Capped,6.5
34,Vaibhav Arora,11,11,10,38.0,390,35.45,10.26,20.72,3000000,18000000,Uncapped,6.0
31,Varun Chakaravarthy,11,11,11,41.0,360,32.72,8.78,22.36,3000000,40000000,Capped,13.33
86,Vipraj Nigam,2,5,5,9.0,113,56.5,12.55,27.0,3000000,5000000,Uncapped,1.67
42,Vyshak Vijaykumar,9,10,9,31.0,330,36.66,10.64,20.66,3000000,18000000,Uncapped,6.0
97,Washington Sundar,1,17,5,9.1,84,84.0,9.16,55.0,20000000,32000000,Capped,1.6
81,Will Jacks,2,7,6,8.5,94,47.0,10.64,26.5,20000000,52500000,Capped,2.62
63,Xavier Bartlett,5,9,9,33.3,388,77.6,11.58,40.2,7500000,8000000,Capped,1.07
38,Yash Raj Punja,9,8,8,30.0,279,31.0,9.3,20.0,3000000,3000000,Uncapped,1.0
89,Yash Thakur,2,1,1,4.0,55,27.5,13.75,12.0,3000000,16000000,Uncapped,5.33
26,Yuzvendra Chahal,12,14,12,41.0,385,32.08,9.39,20.5,20000000,180000000,Capped,9.0
35,Ravindra Jadeja,10,14,12,33.0,277,27.7,8.39,19.8,20000000,180000000,Capped,9.0
13,Sunil Narine,15,13,13,51.0,339,22.6,6.64,20.4,20000000,120000000,Capped,6.0
