pos,player,runs,mat,inns,no,sr,boundary_pct,avg_balls_inns,base_price,final_price,role,final_price_rate,cricket_role
111,Shardul Thakur,24,9,3,1,80.0,33.33,10.0,20000000,40000000,Capped,2.0,All Rounders
67,Shashank Singh,132,12,9,3,188.57,69.7,7.78,2000000,2000000,Uncapped,1.0,All Rounders
70,Sherfane Rutherford,123,8,7,2,164.0,74.8,10.71,15000000,26000000,Capped,1.73,All Rounders
81,Shimron Hetmyer,78,8,7,1,113.04,48.72,9.86,15000000,85000000,Capped,5.67,Batters
40,Shivam Dube,270,13,12,5,158.82,68.89,14.17,5000000,40000000,Capped,8.0,All Rounders
92,Shivang Kumar,53,13,6,0,115.21,56.6,7.67,3000000,3000000,Uncapped,1.0,Bowlers
14,Shreyas Iyer,498,14,13,4,168.81,67.47,22.69,20000000,267500000,Capped,13.38,Batters
79,Shubham Dubey,81,7,6,2,139.65,61.73,9.67,3000000,8000000,Uncapped,2.67,Batters
2,Shubman Gill,732,16,16,0,163.02,67.49,28.06,2000000,18000000,Capped,9.0,Batters
62,Suryansh Shedge,158,7,7,3,175.55,68.35,12.86,3000000,3000000,Uncapped,1.0,All Rounders
165,Sushant Mishra,1,2,1,1,33.33,0.0,3.0,3000000,9000000,Uncapped,3.0,Bowlers
163,T Natarajan,1,10,1,1,50.0,0.0,2.0,20000000,107500000,Capped,5.38,Bowlers
127,Tejasvi Singh,12,2,2,0,80.0,66.67,7.5,3000000,30000000,Uncapped,10.0,Bowlers
24,Tilak Varma,359,14,14,2,145.93,61.84,17.57,2000000,17000000,Capped,8.5,Batters
33,Tim David,305,16,15,6,188.27,74.1,10.8,20000000,30000000,Capped,1.5,Batters
113,Tim Seifert,19,3,3,0,105.55,73.68,6.0,15000000,15000000,Capped,1.0,Batters
21,Travis Head,410,15,15,0,170.12,78.54,16.07,20000000,68000000,Capped,3.4,Batters
133,Trent Boult,8,5,2,1,200.0,75.0,2.0,20000000,125000000,Capped,6.25,Bowlers
39,Tristan Stubbs,275,14,13,5,127.31,45.82,16.62,5000000,5000000,Capped,1.0,Batters
108,Tushar Deshpande,26,7,2,0,185.71,69.23,7.0,10000000,65000000,Capped,6.5,Bowlers
69,Urvil Patel,129,7,7,0,201.56,83.72,9.14,2000000,2000000,Uncapped,1.0,Batters
164,Vaibhav Arora,1,11,2,2,33.33,0.0,1.5,3000000,18000000,Uncapped,6.0,Bowlers
146,Varun Chakaravarthy,5,11,2,0,83.33,80.0,3.0,3000000,40000000,Capped,13.33,Bowlers
52,Venkatesh Iyer,209,7,6,2,186.6,77.51,18.67,20000000,70000000,Capped,3.5,All Rounders
121,Vipraj Nigam,15,5,2,1,150.0,53.33,5.0,3000000,5000000,Uncapped,1.67,All Rounders
120,Vishnu Vinod,15,1,1,1,187.5,66.67,8.0,3000000,9500000,Uncapped,3.17,Batters
158,Vyshak Vijaykumar,2,10,2,2,50.0,0.0,2.0,3000000,18000000,Uncapped,6.0,Bowlers
22,Washington Sundar,377,17,16,6,150.19,61.54,15.69,20000000,32000000,Capped,1.6,All Rounders
65,Will Jacks,139,7,7,2,182.89,73.38,10.86,20000000,52500000,Capped,2.62,All Rounders
106,Xavier Bartlett,29,9,3,2,223.07,68.97,4.33,7500000,8000000,Capped,1.07,Bowlers
19,Yashasvi Jaiswal,427,16,16,2,152.5,74.0,17.5,2000000,24000000,Capped,12.0,Batters
1,Vaibhav Sooryavanshi,776,16,16,0,237.3,88.14,20.44,3000000,11000000,Uncapped,3.67,Batters
4,Virat Kohli,675,16,16,4,165.84,65.48,25.44,20000000,210000000,Capped,10.5,Batters
37,Rohit Sharma,283,9,9,1,157.22,74.2,20.0,20000000,163000000,Capped,8.15,Batters
43,Ravindra Jadeja,266,14,11,7,135.02,47.37,17.91,20000000,180000000,Capped,9.0,All Rounders
101,Sunil Narine,40,13,4,1,125.0,80.0,8.0,20000000,120000000,Capped,6.0,All Rounders
