company,listing_date,final_price,price_change,retail_subscription 
Craftsman Automation Ltd.,2021-03-25,1490,-3.65,2.73
Laxmi Organic Industries Ltd.,2021-03-25,130,26.5,18.03
Anupam Rasayan India Ltd.,2021-03-24,555,-5.08,9.42
Easy Trip Planners Ltd.,2021-03-19,187,11.47,62.95
MTAR Technologies Ltd.,2021-03-15,575,88.26,25.3
Heranba Industries Ltd.,2021-03-05,627,0.0,10.52
RailTel Corp.of India Ltd.,2021-02-26,94,29.1,14.76
Nureca Ltd.,2021-02-25,400,61.44,140.53
Stove Kraft Ltd.,2021-02-05,385,15.83,21.05
Home First Finance Co.India Ltd.,2021-02-03,518,1.84,5.76
Indigo Paints Ltd.,2021-02-02,1490,109.2,13.74
Indian Railway Finance Corp.Ltd.,2021-01-29,26,-4.62,2.88
Antony Waste Handling Cell Ltd.,2021-01-01,315,29.32,13.72
Elin Electronics Ltd.,2022-12-30,247,-7.83,2.26
KFin Technologies Ltd.,2022-12-29,366,-0.59,1.38
Abans Holdings Ltd.,2022-12-23,270,-19.11,0.39
Landmark Cars Ltd.,2022-12-23,506,-9.41,0.59
Sula Vineyards Ltd.,2022-12-22,357,-7.24,1.58
Uniparts India Ltd.,2022-12-12,577,-6.47,4.63
Dharmaj Crop Guard Ltd.,2022-12-08,237,12.36,22.62
Keystone Realtors Ltd.,2022-11-24,541,2.93,0.53
Inox Green Energy Services Ltd.,2022-11-23,65,-9.08,4.91
Kaynes Technology India Ltd.,2022-11-22,587,17.54,4.21
Archean Chemical Industries Ltd.,2022-11-21,407,12.57,10.06
Five-Star Business Finance Ltd.,2022-11-21,474,3.38,0.14
Global Health Ltd.,2022-11-16,336,23.6,0.87
Bikaji Foods International Ltd.,2022-11-16,300,5.82,4.64
Fusion Micro Finance Ltd.,2022-11-15,368,-11.74,0.5
DCX Systems Ltd.,2022-11-11,207,49.18,63.7
Tracxn Technologies Ltd.,2022-10-20,80,16.56,4.64
Electronics Mart India Ltd.,2022-10-17,59,43.22,20.33
Harsha Engineers International Ltd.,2022-09-26,330,47.42,17.95
Tamilnad Mercantile Bank Ltd.,2022-09-15,510,-0.07,6.0
Dreamfolks Services Ltd.,2022-09-06,326,41.84,35.33
Syrma SGS Technology Ltd.,2022-08-26,220,41.14,4.37
Aether Industries Ltd.,2022-06-03,642,20.62,0.59
eMudhra Ltd.,2022-06-01,256,0.74,1.45
Ethos Ltd.,2022-05-30,878,-8.53,0.24
Paradeep Phosphates Ltd.,2022-05-27,42,4.52,0.86
Delhivery Ltd.,2022-05-24,487,10.13,0.27
Venus Pipes & Tubes Ltd.,2022-05-24,326,8.7,13.33
Prudent Corporate Advisory Services Ltd.,2022-05-20,630,-10.83,0.37
Life Insurance Corp.of India,2022-05-17,949,-7.77,1.61
Rainbow Children's Medicare Ltd.,2022-05-10,542,-16.94,0.78
Campus Activewear Ltd.,2022-05-09,292,29.76,6.22
Hariom Pipe Industries Ltd.,2022-04-13,153,50.98,6.94
Veranda Learning Solutions Ltd.,2022-04-11,137,-4.2,4.4
Uma Exports Ltd.,2022-04-07,68,17.35,5.81
Vedant Fashions Ltd.,2022-02-16,866,7.8,0.16
Adani Wilmar Ltd.,2022-02-08,230,16.63,3.39
AGS Transact Technologies Ltd.,2022-01-31,175,-7.97,1.88
Innova Captab Ltd.,2023-12-29,448,20.85,17.02
Azad Engineering Ltd.,2023-12-28,524,29.29,23.95
RBZ Jewellers Ltd.,2023-12-27,100,5.0,24.78
Credo Brands Marketing Ltd.,2023-12-27,280,11.5,19.47
Happy Forgings Ltd.,2023-12-27,850,21.27,15.02
Muthoot Microfin Ltd.,2023-12-26,291,-8.54,7.82
Motisons Jewellers Ltd.,2023-12-26,55,88.27,117.44
Suraj Estate Developers Ltd.,2023-12-26,360,-7.08,9.54
Inox India Ltd.,2023-12-21,660,42.42,14.68
India Shelter Finance Corp.Ltd.,2023-12-20,493,10.49,10.07
DOMS Industries Ltd.,2023-12-20,790,67.85,70.14
Flair Writing Industries Ltd.,2023-12-01,304,48.32,13.37
Tata Technologies Ltd.,2023-11-30,500,162.6,16.01
Gandhar Oil Refinery (India) Ltd.,2023-11-30,169,78.34,29.09
Fedbank Financial Services Ltd.,2023-11-30,140,0.18,1.8
Indian Renewable Energy Development Agency Ltd.,2023-11-29,32,87.5,7.53
ASK Automotive Ltd.,2023-11-15,282,9.96,5.55
Protean eGov Technologies Ltd.,2023-11-13,792,11.49,8.7
ESAF Small Finance Bank Ltd.,2023-11-10,60,15.08,17.83
Honasa Consumer Ltd.,2023-11-07,324,4.04,1.31
Cello World Ltd.,2023-11-06,648,22.18,3.17
Blue Jet Healthcare Ltd.,2023-11-01,346,19.48,2.25
IRM Energy Ltd.,2023-10-26,505,-6.31,9.07
Plaza Wires Ltd.,2023-10-12,54,48.52,360.04
Valiant Laboratories Ltd.,2023-10-06,140,21.61,15.72
Updater Services Ltd.,2023-10-04,300,-5.37,1.39
JSW Infrastructure Ltd.,2023-10-03,119,32.18,10.44
Manoj Vaibhav Gems 'N' Jewellers Ltd.,2023-10-03,215,0.23,1.67
Yatra Online Ltd.,2023-09-28,142,-4.3,2.08
Sai Silks (Kalamandir) Ltd.,2023-09-27,222,10.32,0.87
Signatureglobal (India) Ltd.,2023-09-27,385,19.1,6.97
SAMHI Hotels Ltd.,2023-09-22,126,13.81,1.11
Zaggle Prepaid Ocean Services Ltd.,2023-09-22,164,-3.45,5.94
EMS Ltd.,2023-09-21,211,32.65,29.28
R R Kabel Ltd.,2023-09-20,1035,15.75,2.05
Jupiter Life Line Hospitals Ltd.,2023-09-18,735,46.36,7.66
Ratnaveer Precision Engineering Ltd.,2023-09-11,98,31.99,52.84
Rishabh Instruments Ltd.,2023-09-11,441,0.49,8.16
Vishnu Prakash R.Punglia Ltd.,2023-09-05,99,47.17,31.02
Aeroflex Industries Ltd.,2023-08-31,108,51.16,34.55
Pyramid Technoplast Ltd.,2023-08-29,166,7.02,14.24
TVS Supply Chain Solutions Ltd.,2023-08-23,197,2.03,7.53
Concord Biotech Ltd.,2023-08-18,741,27.23,3.7
SBFC Finance Ltd.,2023-08-16,57,61.75,11.15
Yatharth Hospital & Trauma Care Services Ltd.,2023-08-07,300,11.28,8.38
Netweb Technologies India Ltd.,2023-07-27,500,82.08,18.74
Utkarsh Small Finance Bank Ltd.,2023-07-21,25,92.0,76.14
Senco Gold Ltd.,2023-07-14,317,27.85,15.73
Cyient DLM Ltd.,2023-07-10,265,58.72,50.38
ideaForge Technology Ltd.,2023-07-07,672,92.7,82.03
HMA Agro Industries Ltd.,2023-07-04,585,0.11,0.96
IKIO Lighting Ltd.,2023-06-16,285,41.7,13.77
Mankind Pharma Ltd.,2023-05-09,1080,0.0,0.89
Avalon Technologies Ltd.,2023-04-18,436,-8.72,0.84
Udayshivakumar Infra Ltd.,2023-04-03,35,-10.0,14.73
Global Surfaces Ltd.,2023-03-23,140,22.18,4.98
Divgi TorqTransfer Systems Ltd.,2023-03-14,590,2.58,4.17
Radiant Cash Management Services Ltd.,2023-01-04,94,11.6,0.3
Unimech Aerospace & Manufacturing Ltd.,2024-12-31,785,75.32,57.86
Ventive Hospitality Ltd.,2024-12-30,643,9.54,6.19
Carraro India Ltd.,2024-12-30,704,-9.63,0.72
Senores Pharmaceuticals Ltd.,2024-12-30,391,42.66,94.87
Transrail Lighting Ltd.,2024-12-27,432,28.14,23.08
Concord Enviro Systems Ltd.,2024-12-27,701,17.99,5.68
Sanathan Textiles Ltd.,2024-12-27,321,20.98,9.3
DAM Capital Advisors Ltd.,2024-12-27,283,46.68,27.22
Mamata Machinery Ltd.,2024-12-27,243,159.26,139.29
International Gemmological Institute (India) Ltd.,2024-12-20,417,12.99,11.48
Inventurus Knowledge Solutions Ltd.,2024-12-19,1329,47.54,14.65
Vishal Mega Mart Ltd.,2024-12-18,78,43.5,2.44
Sai Life Sciences Ltd.,2024-12-18,549,39.28,1.36
One Mobikwik Systems Ltd.,2024-12-18,279,89.25,143.52
Suraksha Diagnostic Ltd.,2024-12-06,441,0.0,0.88
Enviro Infra Engineers Ltd.,2024-11-29,148,39.91,23.86
NTPC Green Energy Ltd.,2024-11-27,108,12.64,3.6
Zinka Logistics Solutions Ltd.,2024-11-22,273,-4.69,1.6
Niva Bupa Health Insurance Co.Ltd.,2024-11-14,74,0.0,2.77
Swiggy Ltd.,2024-11-13,390,16.92,1.06
ACME Solar Holdings Ltd.,2024-11-13,289,-12.4,3.12
Sagility India Ltd.,2024-11-12,30,-2.27,3.98
Afcons Infrastructure Ltd.,2024-11-04,463,2.42,0.94
Godavari Biorefineries Ltd.,2024-10-30,352,-2.5,1.68
Waaree Energies Ltd.,2024-10-28,1503,55.62,11.06
Deepak Builders & Engineers India Ltd.,2024-10-28,203,-20.22,38.95
Hyundai Motor India Ltd.,2024-10-22,1960,-7.16,0.44
Garuda Construction & Engineering Ltd.,2024-10-15,95,11.96,10.56
Diffusion Engineers Ltd.,2024-10-04,168,20.93,83.84
KRN Heat Exchanger & Refrigeration Ltd.,2024-10-03,220,117.63,101.07
Manba Finance Ltd.,2024-09-30,120,31.21,139.75
Western Carriers (India) Ltd.,2024-09-24,172,-7.3,27.21
Arkade Developers Ltd.,2024-09-24,128,29.58,58.03
Northern Arc Capital Ltd.,2024-09-24,263,22.97,32.85
P N Gadgil Jewellers Ltd.,2024-09-17,480,65.27,17.73
Bajaj Housing Finance Ltd.,2024-09-16,70,135.71,7.54
Kross Ltd.,2024-09-16,240,8.25,11.48
Tolins Tyres Ltd.,2024-09-16,226,5.93,22.31
Shree Tirupati Balajee Agro Trading Co.Ltd.,2024-09-12,83,13.86,71.62
Gala Precision Engineering Ltd.,2024-09-09,529,43.13,102.38
Baazar Style Retail Ltd.,2024-09-06,389,2.83,9.36
ECOS (India) Mobility & Hospitality Ltd.,2024-09-04,334,32.68,19.31
Premier Energies Ltd.,2024-09-03,450,86.64,7.59
Orient Technologies Ltd.,2024-08-28,206,46.8,66.68
Interarch Building Products Ltd.,2024-08-26,900,32.94,20.4
Saraswati Saree Depot Ltd.,2024-08-20,160,27.31,64.8
Unicommerce eSolutions Ltd.,2024-08-13,108,94.52,136.56
Brainbees Solutions Ltd.,2024-08-13,465,46.04,2.38
Ola Electric Mobility Ltd.,2024-08-09,76,20.0,3.86
Ceigall India Ltd.,2024-08-08,401,-3.55,3.89
Akums Drugs & Pharmaceuticals Ltd.,2024-08-06,679,17.27,21.02
Sanstar Ltd.,2024-07-26,95,21.13,23.54
Emcure Pharmaceuticals Ltd.,2024-07-10,1008,34.84,7.23
Bansal Wire Industries Ltd.,2024-07-10,256,36.86,14.16
Vraj Iron & Steel Ltd.,2024-07-03,207,21.74,57.55
Allied Blenders & Distillers Ltd.,2024-07-02,281,13.13,4.73
Stanley Lifestyles Ltd.,2024-06-28,369,28.66,19.27
DEE Development Engineers Ltd.,2024-06-26,203,65.18,24.89
Akme Fintrade (India) Ltd.,2024-06-26,120,11.12,45.75
Le Travenues Technology Ltd.,2024-06-18,93,78.19,54.44
Kronox Lab Sciences Ltd.,2024-06-10,136,17.15,54.9
Awfis Space Solutions Ltd.,2024-05-30,383,10.12,53.74
Go Digit General Insurance Ltd.,2024-05-23,272,12.5,4.08
TBO Tek Ltd.,2024-05-15,920,52.86,25.94
Aadhar Housing Finance Ltd.,2024-05-15,315,4.59,2.52
Indegene Ltd.,2024-05-13,452,26.31,8.25
JNK India Ltd.,2024-04-30,415,67.36,4.17
Bharti Hexacom Ltd.,2024-04-12,570,42.68,2.74
SRM Contractors Ltd.,2024-04-03,210,7.62,45.86
Krystal Integrated Services Ltd.,2024-03-21,715,-0.3,3.32
Popular Vehicles & Services Ltd.,2024-03-19,295,-6.39,1.03
Gopal Snacks Ltd.,2024-03-14,401,-9.55,4.08
J.G.Chemicals Ltd.,2024-03-13,221,-16.38,17.59
R K SWAMY Ltd.,2024-03-12,288,-8.82,33.33
Mukka Proteins Ltd.,2024-03-07,28,50.89,57.27
Platinum Industries Ltd.,2024-03-05,171,29.36,50.17
Exicom Tele-Systems Ltd.,2024-03-05,142,58.42,121.61
GPT Healthcare Ltd.,2024-02-29,186,7.9,2.35
Juniper Hotels Ltd.,2024-02-28,360,11.53,1.29
Vibhor Steel Tubes Ltd.,2024-02-20,151,195.53,197.91
Entero Healthcare Solutions Ltd.,2024-02-16,1258,-8.62,1.32
Rashi Peripherals Ltd.,2024-02-14,311,3.38,10.98
Jana Small Finance Bank Ltd.,2024-02-14,414,-11.07,5.81
Capital Small Finance Bank Ltd.,2024-02-14,468,-7.05,2.62
Apeejay Surrendra Park Hotels Ltd.,2024-02-12,155,31.32,31.25
BLS E-Services Ltd.,2024-02-06,135,171.11,226.49
Nova AgriTech Ltd.,2024-01-31,41,40.85,78.22
EPACK Durable Ltd.,2024-01-30,230,-9.74,6.44
Medi Assist Healthcare Services Ltd.,2024-01-23,418,11.03,3.07
Jyoti CNC Automation Ltd.,2024-01-16,331,31.18,26.48
Gujarat Kidney & Super Speciality Ltd.,2025-12-30,114,-8.3,18.31
KSH International Ltd.,2025-12-23,384,-7.55,0.93
ICICI Prudential Asset Management Co.Ltd.,2025-12-19,2165,19.44,2.42
Park Medi World Ltd.,2025-12-17,162,-8.67,3.24
Nephrocare Health Services Ltd.,2025-12-17,460,2.45,2.29
Corona Remedies Ltd.,2025-12-15,1062,35.44,29.29
Wakefit Innovations Ltd.,2025-12-15,195,-1.39,3.07
Vidya Wires Ltd.,2025-12-10,52,2.25,29.35
Aequs Ltd.,2025-12-10,124,22.01,78.08
Meesho Ltd.,2025-12-10,111,53.23,19.12
Sudeep Pharma Ltd.,2025-11-28,593,30.55,15.14
Excelsoft Technologies Ltd.,2025-11-26,120,4.97,16.01
Capillary Technologies India Ltd.,2025-11-21,577,5.11,15.4
Fujiyama Power Systems Ltd.,2025-11-20,228,-8.58,1.01
Tenneco Clean Air India Ltd.,2025-11-19,397,23.63,5.26
PhysicsWallah Ltd.,2025-11-18,109,42.42,1.06
Emmvee Photovoltaic Power Ltd.,2025-11-18,217,1.11,1.11
Pine Labs Ltd.,2025-11-14,221,13.52,1.2
Billionbrains Garage Ventures Ltd.,2025-11-12,100,31.33,9.17
Lenskart Solutions Ltd.,2025-11-10,402,0.27,7.48
Studds Accessories Ltd.,2025-11-07,585,-4.22,21.55
Orkla India Ltd.,2025-11-06,730,-2.24,6.8
Midwest Ltd.,2025-10-24,1065,7.09,24.56
Canara HSBC Life Insurance Co.Ltd.,2025-10-17,106,5.11,0.4
Rubicon Research Ltd.,2025-10-16,485,29.53,36.48
Canara Robeco Asset Management Co.Ltd.,2025-10-16,266,12.95,1.86
LG Electronics India Ltd.,2025-10-14,1140,48.24,3.39
Tata Capital Ltd.,2025-10-13,326,1.38,1.06
WeWork India Management Ltd.,2025-10-10,648,-2.99,0.57
Advance Agrolife Ltd.,2025-10-08,100,8.3,22.17
Om Freight Forwarders Ltd.,2025-10-08,135,-36.61,2.77
Glottis Ltd.,2025-10-07,129,-35.12,1.43
Fabtech Technologies Ltd.,2025-10-07,191,-4.5,2.04
Pace Digitek Ltd.,2025-10-06,219,-0.46,1.05
Trualt Bioenergy Ltd.,2025-10-03,496,7.05,11.37
Jinkushal Industries Ltd.,2025-10-03,121,0.55,46.64
Epack Prefab Technologies Ltd.,2025-10-01,204,-6.54,1.7
BMW Ventures Ltd.,2025-10-01,99,-25.15,0.96
Jain Resource Recycling Ltd.,2025-10-01,232,37.09,3.72
Anand Rathi Share & Stock Brokers Ltd.,2025-09-30,414,7.62,4.95
Seshaasai Technologies Ltd.,2025-09-30,423,-2.73,9.24
Jaro Institute of Technology Management & Research Ltd.,2025-09-30,890,-16.38,9.01
Solarworld Energy Solutions Ltd.,2025-09-30,351,-7.83,50.69
Atlanta Electricals Ltd.,2025-09-29,754,9.2,10.54
Ganesh Consumer Products Ltd.,2025-09-29,322,-8.6,1.13
GK Energy Ltd.,2025-09-26,153,9.63,21.34
Saatvik Green Energy Ltd.,2025-09-26,465,-5.23,2.72
Ivalue Infosolutions Ltd.,2025-09-25,299,-5.74,1.22
VMS TMT Ltd.,2025-09-24,99,0.66,46.34
Euro Pratik Sales Ltd.,2025-09-23,247,0.56,1.23
Shringar House of Mangalsutra Ltd.,2025-09-17,165,12.05,26.66
Dev Accelerator Ltd.,2025-09-17,61,5.0,160.88
Urban Co.Ltd.,2025-09-17,103,61.97,40.1
Amanta Healthcare Ltd.,2025-09-09,126,12.5,53.59
Anlon Healthcare Ltd.,2025-09-03,91,0.8,45.82
Vikran Engineering Ltd.,2025-09-03,97,-1.33,11.27
Mangal Electrical Industries Ltd.,2025-08-28,561,-4.57,4.99
Shreeji Shipping Global Ltd.,2025-08-26,252,1.23,21.57
Gem Aromatics Ltd.,2025-08-26,325,-1.83,10.29
Vikram Solar Ltd.,2025-08-26,332,7.35,7.77
Patel Retail Ltd.,2025-08-26,255,12.82,41.68
Regaal Resources Ltd.,2025-08-20,102,29.0,55.61
BlueStone Jewellery & Lifestyle Ltd.,2025-08-19,517,5.61,1.32
All Time Plastics Ltd.,2025-08-14,275,3.02,5.23
JSW Cement Ltd.,2025-08-14,147,-0.63,1.84
Highway Infrastructure Ltd.,2025-08-12,70,72.5,159.72
Sri Lotus Developers & Realty Ltd.,2025-08-06,150,30.45,21.13
M&B Engineering Ltd.,2025-08-06,385,6.14,33.54
Laxmi India Finance Ltd.,2025-08-05,158,-15.12,2.17
Aditya Infotech Ltd.,2025-08-05,675,60.39,52.56
Shanti Gold International Ltd.,2025-08-01,199,15.27,30.42
Brigade Hotel Ventures Ltd.,2025-07-31,90,-5.2,6.59
Indiqube Spaces Ltd.,2025-07-30,237,-8.03,13.41
GNG Electronics Ltd.,2025-07-30,237,40.67,48.2
Anthem Biosciences Ltd.,2025-07-21,570,28.13,5.74
Smartworks Coworking Spaces Ltd.,2025-07-17,407,9.35,3.59
Travel Food Services Ltd.,2025-07-14,1100,-2.29,0.69
Crizac Ltd.,2025-07-09,245,25.56,10.54
Indogulf Cropsciences Ltd.,2025-07-03,111,-0.59,15.33
Sambhv Steel Tubes Ltd.,2025-07-02,82,19.01,8.35
HDB Financial Services Ltd.,2025-07-02,740,13.64,1.43
Globe Civil Projects Ltd.,2025-07-01,71,33.04,52.61
Ellenbarrie Industrial Gases Ltd.,2025-07-01,400,33.65,2.14
Kalpataru Ltd.,2025-07-01,414,4.58,1.35
Oswal Pumps Ltd.,2025-06-20,614,1.85,3.59
Scoda Tubes Ltd.,2025-06-04,140,5.0,20.23
Prostarm Info Systems Ltd.,2025-06-03,105,20.0,38.12
Aegis Vopak Terminals Ltd.,2025-06-02,235,2.98,0.78
Schloss Bangalore Ltd.,2025-06-02,435,0.13,0.83
Belrise Industries Ltd.,2025-05-28,90,8.23,4.4
Borana Weaves Ltd.,2025-05-27,216,18.13,192.74
Ather Energy Ltd.,2025-05-06,321,-5.83,1.76
Quality Power Electrical Equipments Ltd.,2025-02-24,425,-8.73,1.72
Hexaware Technologies Ltd.,2025-02-19,708,7.7,0.1
Ajax Engineering Ltd.,2025-02-17,629,-5.34,1.89
Dr.Agarwal's Health Care Ltd.,2025-02-04,402,-0.09,0.39
Denta Water & Infra Solutions Ltd.,2025-01-29,294,16.07,89.36
Stallion India Fluorochemicals Ltd.,2025-01-23,90,40.0,94.51
Laxmi Dental Ltd.,2025-01-20,428,28.63,75.35
Quadrant Future Tek Ltd.,2025-01-14,290,53.1,256.63
Indo Farm Equipment Ltd.,2025-01-07,215,27.3,102.57
